Код,Валюта,Курс,Номинал,Изменение,Дата,Валюта (Код)
AUD,Австралийский доллар,46.998,1,0.0756,2023-01-16,Австралийский доллар (AUD)
AZN,Азербайджанский манат,39.7496,1,-0.1195,2023-01-16,Азербайджанский манат (AZN)
AMD,Армянский драм,17.0401,100,-0.062,2023-01-16,Армянский драм (AMD)
BYN,Белорусский рубль,25.9353,1,0.1251,2023-01-16,Белорусский рубль (BYN)
BGN,Болгарский лев,37.2167,1,-0.0257,2023-01-16,Болгарский лев (BGN)
BRL,Бразильский реал,13.1475,1,0.1176,2023-01-16,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.2853,1,0.0712,2023-01-16,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.4938,100,0.219,2023-01-16,Венгерский форинт (HUF)
DKK,Датская крона,97.8573,10,-0.08,2023-01-16,Датская крона (DKK)
USD,Доллар США,67.5744,1,-0.2031,2023-01-16,Доллар США (USD)
EUR,Евро,73.1131,1,0.3223,2023-01-16,Евро (EUR)
INR,Индийская рупия,81.7747,100,-0.1838,2023-01-16,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-16,Исландская крона (ISK)
KZT,Казахстанский тенге,14.6082,100,-0.0559,2023-01-16,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.5116,1,0.0256,2023-01-16,Канадский доллар (CAD)
KGS,Киргизский сом,78.8683,100,-0.2371,2023-01-16,Киргизский сом (KGS)
CNY,Китайский юань,10.0307,1,0.0291,2023-01-16,Китайский юань (CNY)
MDL,Молдавский лей,35.2589,10,-0.0693,2023-01-16,Молдавский лей (MDL)
NOK,Норвежская крона,68.3502,10,0.3408,2023-01-16,Норвежская крона (NOK)
PLN,Польский злотый,15.5809,1,0.0281,2023-01-16,Польский злотый (PLN)
RON,Румынский лей,14.8228,1,0.0407,2023-01-16,Румынский лей (RON)
SGD,Сингапурский доллар,51.0766,1,0.1314,2023-01-16,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,90.8342,1,-0.0866,2023-01-16,Специальные права заимствования (XDR)
TJS,Таджикский сомони,65.9874,10,-0.2248,2023-01-16,Таджикский сомони (TJS)
TRY,Турецкая лира,35.9865,10,-0.1134,2023-01-16,Турецкая лира (TRY)
TMT,Туркменский манат,19.307,1,-0.058,2023-01-16,Туркменский манат (TMT)
UZS,Узбекский сум,59.7983,0,-0.0647,2023-01-16,Узбекский сум (UZS)
UAH,Украинская гривна,18.3043,10,-0.0513,2023-01-16,Украинская гривна (UAH)
CZK,Чешская крона,30.2861,10,-0.0299,2023-01-16,Чешская крона (CZK)
SEK,Шведская крона,65.0442,10,0.4807,2023-01-16,Шведская крона (SEK)
CHF,Швейцарский франк,72.7702,1,-0.0306,2023-01-16,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.3996,10,0.278,2023-01-16,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,54.4384,0,0.0336,2023-01-16,Южнокорейская вона (KRW)
JPY,Японская иена,52.29,100,0.9045,2023-01-16,Японская иена (JPY)
AUD,Австралийский доллар,46.998,1,0.0756,2023-01-15,Австралийский доллар (AUD)
AZN,Азербайджанский манат,39.7496,1,-0.1195,2023-01-15,Азербайджанский манат (AZN)
AMD,Армянский драм,17.0401,100,-0.062,2023-01-15,Армянский драм (AMD)
BYN,Белорусский рубль,25.9353,1,0.1251,2023-01-15,Белорусский рубль (BYN)
BGN,Болгарский лев,37.2167,1,-0.0257,2023-01-15,Болгарский лев (BGN)
BRL,Бразильский реал,13.1475,1,0.1176,2023-01-15,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.2853,1,0.0712,2023-01-15,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.4938,100,0.219,2023-01-15,Венгерский форинт (HUF)
DKK,Датская крона,97.8573,10,-0.08,2023-01-15,Датская крона (DKK)
USD,Доллар США,67.5744,1,-0.2031,2023-01-15,Доллар США (USD)
EUR,Евро,73.1131,1,0.3223,2023-01-15,Евро (EUR)
INR,Индийская рупия,81.7747,100,-0.1838,2023-01-15,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-15,Исландская крона (ISK)
KZT,Казахстанский тенге,14.6082,100,-0.0559,2023-01-15,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.5116,1,0.0256,2023-01-15,Канадский доллар (CAD)
KGS,Киргизский сом,78.8683,100,-0.2371,2023-01-15,Киргизский сом (KGS)
CNY,Китайский юань,10.0307,1,0.0291,2023-01-15,Китайский юань (CNY)
MDL,Молдавский лей,35.2589,10,-0.0693,2023-01-15,Молдавский лей (MDL)
NOK,Норвежская крона,68.3502,10,0.3408,2023-01-15,Норвежская крона (NOK)
PLN,Польский злотый,15.5809,1,0.0281,2023-01-15,Польский злотый (PLN)
RON,Румынский лей,14.8228,1,0.0407,2023-01-15,Румынский лей (RON)
SGD,Сингапурский доллар,51.0766,1,0.1314,2023-01-15,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,90.8342,1,-0.0866,2023-01-15,Специальные права заимствования (XDR)
TJS,Таджикский сомони,65.9874,10,-0.2248,2023-01-15,Таджикский сомони (TJS)
TRY,Турецкая лира,35.9865,10,-0.1134,2023-01-15,Турецкая лира (TRY)
TMT,Туркменский манат,19.307,1,-0.058,2023-01-15,Туркменский манат (TMT)
UZS,Узбекский сум,59.7983,0,-0.0647,2023-01-15,Узбекский сум (UZS)
UAH,Украинская гривна,18.3043,10,-0.0513,2023-01-15,Украинская гривна (UAH)
CZK,Чешская крона,30.2861,10,-0.0299,2023-01-15,Чешская крона (CZK)
SEK,Шведская крона,65.0442,10,0.4807,2023-01-15,Шведская крона (SEK)
CHF,Швейцарский франк,72.7702,1,-0.0306,2023-01-15,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.3996,10,0.278,2023-01-15,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,54.4384,0,0.0336,2023-01-15,Южнокорейская вона (KRW)
JPY,Японская иена,52.29,100,0.9045,2023-01-15,Японская иена (JPY)
AUD,Австралийский доллар,46.998,1,0.0756,2023-01-14,Австралийский доллар (AUD)
AZN,Азербайджанский манат,39.7496,1,-0.1195,2023-01-14,Азербайджанский манат (AZN)
AMD,Армянский драм,17.0401,100,-0.062,2023-01-14,Армянский драм (AMD)
BYN,Белорусский рубль,25.9353,1,0.1251,2023-01-14,Белорусский рубль (BYN)
BGN,Болгарский лев,37.2167,1,-0.0257,2023-01-14,Болгарский лев (BGN)
BRL,Бразильский реал,13.1475,1,0.1176,2023-01-14,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.2853,1,0.0712,2023-01-14,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.4938,100,0.219,2023-01-14,Венгерский форинт (HUF)
DKK,Датская крона,97.8573,10,-0.08,2023-01-14,Датская крона (DKK)
USD,Доллар США,67.5744,1,-0.2031,2023-01-14,Доллар США (USD)
EUR,Евро,73.1131,1,0.3223,2023-01-14,Евро (EUR)
INR,Индийская рупия,81.7747,100,-0.1838,2023-01-14,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-14,Исландская крона (ISK)
KZT,Казахстанский тенге,14.6082,100,-0.0559,2023-01-14,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.5116,1,0.0256,2023-01-14,Канадский доллар (CAD)
KGS,Киргизский сом,78.8683,100,-0.2371,2023-01-14,Киргизский сом (KGS)
CNY,Китайский юань,10.0307,1,0.0291,2023-01-14,Китайский юань (CNY)
MDL,Молдавский лей,35.2589,10,-0.0693,2023-01-14,Молдавский лей (MDL)
NOK,Норвежская крона,68.3502,10,0.3408,2023-01-14,Норвежская крона (NOK)
PLN,Польский злотый,15.5809,1,0.0281,2023-01-14,Польский злотый (PLN)
RON,Румынский лей,14.8228,1,0.0407,2023-01-14,Румынский лей (RON)
SGD,Сингапурский доллар,51.0766,1,0.1314,2023-01-14,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,90.8342,1,-0.0866,2023-01-14,Специальные права заимствования (XDR)
TJS,Таджикский сомони,65.9874,10,-0.2248,2023-01-14,Таджикский сомони (TJS)
TRY,Турецкая лира,35.9865,10,-0.1134,2023-01-14,Турецкая лира (TRY)
TMT,Туркменский манат,19.307,1,-0.058,2023-01-14,Туркменский манат (TMT)
UZS,Узбекский сум,59.7983,0,-0.0647,2023-01-14,Узбекский сум (UZS)
UAH,Украинская гривна,18.3043,10,-0.0513,2023-01-14,Украинская гривна (UAH)
CZK,Чешская крона,30.2861,10,-0.0299,2023-01-14,Чешская крона (CZK)
SEK,Шведская крона,65.0442,10,0.4807,2023-01-14,Шведская крона (SEK)
CHF,Швейцарский франк,72.7702,1,-0.0306,2023-01-14,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.3996,10,0.278,2023-01-14,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,54.4384,0,0.0336,2023-01-14,Южнокорейская вона (KRW)
JPY,Японская иена,52.29,100,0.9045,2023-01-14,Японская иена (JPY)
AUD,Австралийский доллар,46.9224,1,-0.7775,2023-01-13,Австралийский доллар (AUD)
AZN,Азербайджанский манат,39.8691,1,-0.731,2023-01-13,Азербайджанский манат (AZN)
AMD,Армянский драм,17.1021,100,-0.329,2023-01-13,Армянский драм (AMD)
BYN,Белорусский рубль,25.8102,1,0.0429,2023-01-13,Белорусский рубль (BYN)
BGN,Болгарский лев,37.2424,1,-0.5976,2023-01-13,Болгарский лев (BGN)
BRL,Бразильский реал,13.0299,1,-0.1439,2023-01-13,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.2141,1,-1.6316,2023-01-13,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.2748,100,-0.2551,2023-01-13,Венгерский форинт (HUF)
DKK,Датская крона,97.9373,10,-1.5728,2023-01-13,Датская крона (DKK)
USD,Доллар США,67.7775,1,-1.2427,2023-01-13,Доллар США (USD)
EUR,Евро,72.7908,1,-1.3453,2023-01-13,Евро (EUR)
INR,Индийская рупия,81.9585,100,-1.2935,2023-01-13,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-13,Исландская крона (ISK)
KZT,Казахстанский тенге,14.6641,100,-0.2805,2023-01-13,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.486,1,-0.941,2023-01-13,Канадский доллар (CAD)
KGS,Киргизский сом,79.1054,100,-1.4504,2023-01-13,Киргизский сом (KGS)
CNY,Китайский юань,10.0016,1,-0.138,2023-01-13,Китайский юань (CNY)
MDL,Молдавский лей,35.3282,10,-0.6239,2023-01-13,Молдавский лей (MDL)
NOK,Норвежская крона,68.0094,10,-0.8455,2023-01-13,Норвежская крона (NOK)
PLN,Польский злотый,15.5528,1,-0.2453,2023-01-13,Польский злотый (PLN)
RON,Румынский лей,14.7821,1,-0.2579,2023-01-13,Румынский лей (RON)
SGD,Сингапурский доллар,50.9452,1,-0.8912,2023-01-13,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,90.9208,1,-1.6636,2023-01-13,Специальные права заимствования (XDR)
TJS,Таджикский сомони,66.2122,10,-1.2549,2023-01-13,Таджикский сомони (TJS)
TRY,Турецкая лира,36.0999,10,-0.6669,2023-01-13,Турецкая лира (TRY)
